track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.77789;-1.80073;-0.100583;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77779;-1.80079;-0.127358;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7777;-1.8008;-0.103499;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7776;-1.80085;-0.1287;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7775;-1.80087;-0.105311;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7774;-1.80092;-0.133037;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7773;-1.80093;-0.107724;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7772;-1.80099;-0.134902;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7771;-1.801;-0.107246;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77699;-1.80106;-0.133646;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7769;-1.80107;-0.108367;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77679;-1.80113;-0.136243;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77669;-1.80115;-0.111241;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77659;-1.80122;-0.136183;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77649;-1.80123;-0.110871;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77638;-1.80129;-0.136112;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77628;-1.80131;-0.111605;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77617;-1.80136;-0.136522;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77608;-1.80138;-0.111438;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77597;-1.80143;-0.136237;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77587;-1.80144;-0.111964;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77576;-1.8015;-0.137789;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77566;-1.80152;-0.112598;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77555;-1.80157;-0.137539;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77545;-1.80159;-0.112324;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77534;-1.80165;-0.134663;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77524;-1.80166;-0.109118;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77514;-1.80172;-0.134769;0.0;0.0;0.0
