SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
52.2107;0.0000;-0.0165;-0.3122;9.2532;13.7885;35.3715;200.0000;26.3237;7.8878;5.0205;0
52.7250;0.0000;-0.0170;-0.3112;9.2412;13.7684;35.3200;200.0000;26.3984;7.9101;5.0304;0
53.2435;0.0000;-0.0175;-0.3102;9.2286;13.7480;35.2677;200.0000;26.4746;7.9330;5.0407;0
53.7659;0.0000;-0.0181;-0.3091;9.2157;13.7279;35.2162;200.0000;26.5499;7.9555;5.0511;0
54.2926;0.0000;-0.0186;-0.3081;9.2025;13.7078;35.1646;200.0000;26.6252;7.9780;5.0620;0
54.8235;0.0000;-0.0191;-0.3070;9.1890;13.6877;35.1131;200.0000;26.7006;8.0006;5.0731;0
55.3586;0.0000;-0.0197;-0.3059;9.1755;13.6675;35.0613;200.0000;26.7757;8.0231;5.0848;0
55.8976;0.0000;-0.0204;-0.3047;9.1620;13.6473;35.0095;200.0000;26.8511;8.0458;5.0969;0
56.4399;0.0000;-0.0212;-0.3035;9.1482;13.6269;34.9572;200.0000;26.9274;8.0687;5.1097;0
56.9855;0.0000;-0.0219;-0.3021;9.1330;13.6042;34.8990;200.0000;27.0123;8.0942;5.1246;0
57.5345;0.0000;-0.0226;-0.3006;9.1178;13.5816;34.8408;200.0000;27.0972;8.1195;5.1399;0
58.0866;0.0000;-0.0234;-0.2990;9.1026;13.5588;34.7825;200.0000;27.1821;8.1449;5.1559;0
58.6423;0.0000;-0.0242;-0.2974;9.0873;13.5361;34.7243;200.0000;27.2670;8.1704;5.1720;0
59.2014;0.0000;-0.0249;-0.2958;9.0721;13.5135;34.6661;200.0000;27.3518;8.1959;5.1881;0
59.7638;0.0000;-0.0259;-0.2941;9.0567;13.4906;34.6074;200.0000;27.4373;8.2215;5.2043;0
60.3297;0.0000;-0.0271;-0.2923;9.0416;13.4680;34.5495;200.0000;27.5220;8.2468;5.2204;0
60.8990;0.0000;-0.0282;-0.2905;9.0263;13.4453;34.4911;200.0000;27.6070;8.2723;5.2365;0
61.4718;0.0000;-0.0293;-0.2886;9.0111;13.4226;34.4330;200.0000;27.6917;8.2977;5.2526;0
